,제목,본문,본문 댓글,답변,태그,,
0,.,.,No Comments Exist,"
기능은 제쳐두고 가장 빠른걸 원한다면

w3m 이라는 텍스트 기반의 브라우저가 있습니다.

GUI 기반이라면,

dillo 라는 브라우저가 있습니다.

자바스크립트가 동작해야 한다면

midori 라는 브라우저가 있구요.

모든 기능을 지원해야 한다면

chromium 이나 firefox 중에 선택하시는게 좋습니다.




<---------댓글----------->



*************************************************************



크롬 괜찮습니다. 적어도 현재는...

크로미움 사용중입니다.

 

그외에 넷서프 씨몽키 찾아보면 많이 있습니다.

씨몽키가 메일 클라이언트와 컴포저, irc를 가지고 있습니다. 그래서 인터넷 본연의 기능에 가장 충실하다고 봅니다.

w3m 은 커맨드라인에서는 거의 필수입니다. fbterm 괴 함께 사용해야 한글이 제대로 나옵니다.




<---------댓글----------->



*************************************************************



Opera 간결합니다. Webkit 기반으로 변경되어 크롬이랑 같지만 메모리는 크롬하고 비교도 안되게 적게 먹습니다. 

일부 한국어 웹사이트의 입력 Form에서 한글입력 문제가 약간 있지만.큰문제는 아닙니다.




<---------댓글----------->



*************************************************************
","q2a
우분투
브라우저
파이어폭스
구글크롬",,
1,우분투 15.04 + fctix 설치 후 컨트롤 키 조합이 안먹히나요?,"우분투 15.04 데스크탑 64비트 설치 후 fctix-hangul 패키지 설치하고 전환키는 한영키 설정으로 한글 설정까지 마쳤습니다.

그런데 `컨트롤+어떤키` 조합이 안먹습니다. 현재 복사, 붙여넣기 그리고 전체선택을 마우스로만 하고 있는 상황입니다.

이 문제가 fctix 문제인가요?

 

`컨트롤+C` 를 입력하면 C 만 입력됩니다.",No Comments Exist,"

어느 부분에서 작동이 안 되시는지 말씀 해 주실 수 있나요?
현재 vmware에서 15.04 64비트 설치하여 Terminal 에서 fcitx 로 확인 결과 문제없이 ^C 로 입력되는것을 확인하였습니다.
혹시 키보드 설정이 제대로 되어있는지 다시 한번 확인하여 주세요.
현재 설치는 기본 ibus와 같이 설치되어 있는 상태입니다. (+ fcitx, fcitx-hangul)

1. fcitx 설정 입니다. 한글 키보드는 키보드(한글) 이 아닌 Hangul로 설정하였습니다.

2. 언어 지원 창 입니다. 키보드 입력기와 한국어 등이 제대로 설치되었는지 확인 부탁드립니다.




<---------댓글----------->



*************************************************************
","우분투
64-비트
fctix
데스크탑
한영키",,
2,STL 파일이 웹서버를 통해 게시가 될려면 어떻게해야하나요,"3d프린터의 출력 파일인 *.STL을 현재 올린 웹서버를 통해 보여지도록 올릴러고합니다
이부분은 Three.js를 이용할여 게시할려는데
Github를 통해 예제를 받은후 올릴려고하는데
왜인지 안올라가집니다.
예가 될수있는 사이트로는 lazarsoft.info/objstl 이 되겠습니다. 고수님들 방법좀 알려주세요",No Comments Exist,"
http://wiki.ubuntu-kr.org/index.php/APM_%EC%84%A4%EC%B9%98

권한 문제일 가능성이 높아 보이는군요..




<---------댓글----------->



권한문제는 아니라고 생각되는것이 , *.jpg는 웹에서 뜨는데 *.stl은 뜨지가않습니다.
위의 위키에 나온대로 security에 설정을 하였고, stl파일역시 chmod 777 까지 주었는데 
웹상에서 뜨질않네요 
blender같은 3d툴을 설치해야 웹에서도 뜨나요???



해당 사이트에 들어가서 보면 텍스트가 나오거나 곰인형같은게 나오던데요..
잘 나오고 있는것으로 보이는데, 브라우저 문제가 아닐런지요



*************************************************************
","stl
웹-서버
3d프린터
깃허브
js",,
3,드래그영역(?) 색 바꿀 수 있는 방법이 있을까요??,"
안녕하세요. 며칠전에 가입하고 처음으로 질문을 올립니다.
처음 질문부터 너무 .. 저급한(?)것이 아닐까 조심스럽습니다.
아래 그림처럼 마우스로 끌 때 생기는 저 상자의 색을 혹시 바꿀 수 있는 방법이 있을까요?
구글검색을 해보니 예전 우분투에는 테마변경에서 할 수 있었던것 같은데 제가 지금 설치해본 것은 15.04인데
여기는 테마 종류만 선택할 수 있는것 같아요. 또 어떤 글은 ubuntu-tweak을 설치하면 된다고 했는데
이 패키지도 지금은 없어진것 같습니다.
우분투 처음 써봐서 마냥신기하기도 하고 검색만 하면 원하는대로 다 바꿀 수 있어서 정말 재미있네요.
",No Comments Exist,"
이전 gnome 데스크탑 환경이 기본으로 되어 있을 때에는 가능했는데, 지금 unity 환경에서는 아직은 색상 바꾸기 설정이 없는것 같습니다.




<---------댓글----------->



*************************************************************
","우분투
트윅
색
마우스
드래그-영역",,
4,음악 CD 리핑시 한국 음반 정보도 가져올 방법이 있나요?,"
우분투 15.04 사용하고 있습니다.
음악CD를 넣으면 Sound Juicer가 뜨는데, 한국 음반인 경우 아래 스크린샷처럼 MusicBrainz DB에서 정보를 찾을 수 없다고 나오면서, ""알 수 없는 제목"", ""알 수 없는 아티스트"" 등으로 나옵니다. Sound Juicer가 아니더라도, 우분투에서 한국 음반 정보를 가져오면서 리핑할 수 있는 방법이 있나요?
 
",No Comments Exist,"

스크린샷 보시면,,,

이 앨범을 추가해서 MusicBrainz 데이터베이스에 기여할 수 있습니다.
라고 나오네요.




<---------댓글----------->



제가 앨범 정보를 직접 기입해서 MusicBrainz DB에 올릴 순 있는 것 같지만, MusicBrainz DB에 한국 음반 정보는 거의 없는 것 같아서요. 혹시 한국분들이 많이 쓰시는 음반 DB같은게 있는지 궁금하네요.



*************************************************************
","한국
음반
리핑
musicbrainz-db
sound-juicer",,
5,윈도에서 사용하는 윈도창 좌우배치 단축키(윈도키+좌/우 화살키)가 우분투 14.04에서는 어떻게 쓰이는지 궁금합니다.,안녕하세요. 윈도에서 사용하는 윈도창 좌우배치 단축키(윈도키+좌/우 화살키)가 우분투 14.04에서는 어떻게 쓰이는지 궁금합니다.,No Comments Exist,"

윈도우창 좌우배치 단축키를 통해 창을 배치하는 기능을 'Grid Move' 라고 합니다.
우분투에서 기본 기능으로는 Windows와 똑같이 Grid Move 기능을 지원하지는 않고,
컨트롤 + 알트 + 숫자 로 창을 양 옆으로 배치할 수 있습니다.
 
원하시는 창을 선택하신 뒤, 컨트롤 + 알트 + 4 또는 6을 누르시면 양 옆으로 창을 이동시킬 수 있습니다.


기본 단축 키 관련 도움말을 보고 싶으시면, 윈도우키(슈퍼키)를 계속 누르고 계시면 화면 중앙에 도움말이 나타나니 참고하시기 바라겠습니다.




<---------댓글----------->



*************************************************************



ctrl+alt+방향키로 윈도우와 똑같이 사용가능합니다




<---------댓글----------->



아니요. 우분투의 경우에는 컨트롤+알트+방향키로 동작하지 않았습니다. 현재는 컨트롤 알트 4혹은 6을 눌러서 사용하고 있구요. 컨트롤 알트 방향키를 누르면 다른 창으로 넘어가게 설정해 두었습니다 이걸 워크스페이스라고 한 것 같은데 명칭이 정확히 기억나지는 않네요.

그 외에도 트윅을 설치 후 설정을 하면 컨트롤 알트 숫자로 조합해서 화면에 창을 배치 할 수 있엇습니다 

현재 아주 유용하게 사용하고 있어요



제가 실수를 했네요 컨트롤 + Super(win키) +방향키로 가능합니다.
현재 제 우분투 랩탑에서 그렇게 사용하고있습니다.



*************************************************************
","윈도-키
우분투
좌우배치
단축키",,
6,intellij keymap이 작동을 안합니다.,"인텔리제이 키맵을 eclipse로 변경해서 사용하려는데 아예 작동을 안하네요
우분투 기본키맵과 겹치는것 같아서 우분투 keyboard shortcut에서 겹치는 키를 전부 수정한것 같은데 적용이 안됩니다.
혹시 해결책을 아시는 분은 답변즘 달아주시면 감사하겠습니다.",No Comments Exist,"

http://abhi.sanoujam.com/posts/Eclipse-intellij-keyboard-shortcut-mappings
 
꽤 시간이 지난 질문이지만 혹시 아직 방법을 못찾으셨다면 위 링크가 도움이 될진 모르겠습니다...ㅜㅜ
 




<---------댓글----------->



*************************************************************
","intellij-keymap
eclipse
keyboard
shortcut",,
7,디스크 암호화 비밀번호 변경 방법,부팅시 암호를 쳐야 디스크 암호화가 해제되게 해놨는데요. 이거 암호를 변경하고 싶은데 디스크 암호화 암호 변경은 어떻게 하나요?,No Comments Exist,"

GUI를 통한 변경방법은 현재 없는 걸로 알고 있습니다.
커맨드 라인 명령어는 다음과 같습니다.
sudo cryptsetup luksChangeKey /dev/sda1

만약 터미널과 명령어 등에 익숙하지 않다면
추가로 도움을 요청하시는걸 추천합니다.




<---------댓글----------->



*************************************************************
","부팅
디스크
암호
변경",,
8,윈도8.1과 우분투14.04 듀얼부팅 구성시 디스크 파티션이 보이지 않으면 어떻게 해야하나요?,"안녕하세요. 현재 윈도8.1을 사용중이고, 우분투14.04(데스크탑)와 듀얼부팅을 구성하고 있습니다. 그런데, 우분투 설치과정에서 설치할 파티션이 보이지 않습니다. 어떻게 해야하나요?

- 빠른 부팅은 선택해제 하였구요.

- 구글링해서 sudo fixparts /dev/sda 도 시도해봤습니다만, 여전히 파티션이 보이지 않습니다.

- 추가로 HP ENVY TouchSmart 이고 윈도8 OS가 사전탑재되어 나오는 모델입니다. (리커버리 디스크가 있어요)",No Comments Exist,"
http://askubuntu.com/questions/221835/installing-ubuntu-on-a-pre-installed-windows-8-64-bit-system-uefi-supported

 

이 링크를 참조하시면 도움이 될 듯 합니다.

영어로 되어 있긴 하지만 스크린샷이 첨부되어 있어 내용을 보고 따라하는 데에 큰 문제는 없을 것 같습니다.




<---------댓글----------->



고맙습니다. 내용이 너무 길어서 좀 읽어봐야겠네요! 성공해서 다시 댓글 남기겠습니다!



링크를 알려주셔서 감사합니다. 정말 많은 도움이 되었습니다. 문제를 파악하고 나니 제 노트북에는 디스크가 2개가 RAID구성되어 있더라구요. 결국 Intel Rapid Storage Option을 제거했습니다. 감사합니다.



*************************************************************



자문, 자답입니다.

HP 노트북 BIOS에 들어가서 Intel Rapid Storage Technology Option에서 설정되어 있는 RAID 옵션을 제거하면 우분투 설치시 윈도 파일시스템을 볼 수 있습니다.

제 노트북에는 1테라 HDD와 24기가 SSD가 장착되어 있었습니다. (이건 제가 몰랐네요. diskmgmt.msc에서 SSD가 안보여서 몰랐습니다. 나중에 알고보니 윈도 부트 캐쉬에 RAID로 설정이 되어 있더군요.

경우에 따라서는 RAID를 제거하는 경우에 디스크가 날아가는 케이스도 있다고 하니 미리미리 백업하시고 듀얼부팅 설정 시도하시는게 좋을 것 같습니다. 

수고하세요~




<---------댓글----------->



*************************************************************
","윈도
우분투
듀얼-부팅
파티션
빠른부팅",,
9,사진작업 하는 분 계신가요?,"몇년전에 우분투를 노트북으로 사용을 해보고 다시 데스크탑으로 사용해볼려고 생각하고 있습니다.

그런데 제가 사진을 취미로 하다 보니 사진보정작업을 컴퓨터로 합니다. 지금까지 윈도우용 포토샵이나 라이트룸을 주로 사용해 왔습니다. 혹시 우분투에 그런 작업을 할 수 있는 소프트웨어가 있는지 궁금합니다.

포토샵이나 라이트룸과 어떤 차이가 있는지 궁금합니다.

윈도우와 우분투를 멀티부팅하거나 가상머신으로 윈도우를 따로 설치할 생각은 안하고 있습니다.",No Comments Exist,"
상용으로는 Corel사의 AfterShot이란 제품이 있습니다. 우분투의 소프트웨어 센터에서 구매하여 쓸 수 있습니다. Adobe의 LightRoom과 비슷합니다. 

참조 : http://www.aftershotpro.com/en/products/aftershot/standard/

무료로 쓸 수 있는 것은 몇가지 있습니다. 

Darkable :  http://www.darktable.org/

RawStudio : http://rawstudio.org/

UFrow : http://ufraw.sourceforge.net/

Photive : http://photivo.org/

골라서 쓰시면 될 듯 합니다. ㅎㅎ

그리고 포토샵PSD파일이나 등을 볼 수 있는 이미지뷰어는 

XnView MP : http://www.xnview.com/en/xnviewmp/

PSD와 같은 포맷을 미리보기위한 이미지 뷰어는 Fragment : http://www.fragmentapp.info/ 와 같은게 있습니다.




<---------댓글----------->



*************************************************************
","우분투
사진-보정-작업
윈도우
포토샵
라이트룸",,
